Colour;Match;Link;;;;;;;;
Magenta;White Black Rose;https://i.pinimg.com/564x/93/b0/33/93b03316e540759527cc2bb0b0c21309.jpg;;;;;;;;
Malachite;Mint Seafoam Sage Ocean;https://i.pinimg.com/564x/0b/fb/7d/0bfb7d0eb04969f50c67798ed8c75eb8.jpg;;;;;;;;
Melon;Mint Lemon Bone Ivory;https://i.pinimg.com/564x/aa/d9/8c/aad98cd42e5cb515b9ebed3db928d856.jpg;;;;;;;;
Midnight;Azure Berry Admiral Navy;https://i.pinimg.com/564x/7c/a7/83/7ca783aef48f8e9beb4c7ba674c271da.jpg;;;;;;;;
Mint;Dutch_White Crepe Taffy Lilac;https://i.pinimg.com/564x/40/77/b9/4077b9c01a63b1c97e382b30281635bb.jpg;;;;;;;;
Navy;Lilac Sky Chartreuse Brown Grey Banana Orange Green Red White;https://i.pinimg.com/564x/b3/ba/3f/b3ba3f4cd928d16733e7150f970d1d7a.jpg;;;;;;;;
Ocean;Cherry Yellow Brown Cream Sangria Eggplant Polished_Pine Stone Sand;https://i.pinimg.com/564x/af/aa/78/afaa78a494617acd61d72975c576bdf2.jpg;;;;;;;;
Ochre;Pink Navy Beige Salt;https://i.pinimg.com/564x/38/23/fe/3823fe23ee8dc6e316e66b3edd56a35a.jpg;;;;;;;;
Olive;Orange Caramel Brown;https://i.pinimg.com/564x/05/77/92/057792f7d232516cc868d313e3480e3d.jpg;;;;;;;;
Orange;"Sky Admiral Violet Purple	White Black";https://i.pinimg.com/564x/fc/31/98/fc3198e5bbe06fef146c1461abb92f80.jpg;;;;;;;;
Orchid;Mint Isabelline Plum Lavander;https://i.pinimg.com/564x/a0/03/06/a003064ecd9631ca82016dd5043ed57f.jpg;;;;;;;;
Pear;Green Sage Stone Fog Ocean;https://i.pinimg.com/564x/53/76/2e/53762e2dfba1a6b1cd5e6644f1fdd6d1.jpg;;;;;;;;
Pink;Brown White Mint Olive Grey Sapphire;https://i.pinimg.com/564x/23/64/d7/2364d7f01c68ed22cfa66265a2062b25.jpg;;;;;;;;
Purple;Cherry Watermelon Blush Wine Grape;https://i.pinimg.com/564x/16/aa/02/16aa0238b00ec2d2b124dd350165af3f.jpg;;;;;;;;
Red;Yellow White Hickory Green Black Admiral;https://i.pinimg.com/564x/70/18/5f/70185f29b68c5524a06371e32002997b.jpg;;;;;;;;
Salmon;Pear Ocean Peach Teal;https://i.pinimg.com/564x/ca/5f/17/ca5f173eb08b215eb2e003ec1f6a3c07.jpg;;;;;;;;
Sapphire;Mint Pistachio Fern Seafoam ;https://i.pinimg.com/564x/3c/9f/45/3c9f451b84c514071791843f5ad2e91f.jpg;;;;;;;;
Scarlet;Sky Mint Sand Cream Grey;https://i.pinimg.com/564x/a9/b7/87/a9b787962ccd7c5dd1356eab439b8301.jpg;;;;;;;;
Tangerine;Grey Brown Olive;https://i.pinimg.com/564x/0c/46/23/0c4623a69d7c02f48e2b60e5f1c89119.jpg;;;;;;;;
Tiger;Banana Olive Brown Cherry;https://i.pinimg.com/564x/fc/f6/21/fcf6210db768fa5442b1fe5946c03146.jpg;;;;;;;;
Tomato;Red Bone Beige Orange Cherry;https://i.pinimg.com/564x/18/c2/55/18c2558026a62ec2f9c096a6ab3a0f06.jpg;;;;;;;;
Vanilla;Beige Cream Sand Ochre Salmon;https://i.pinimg.com/564x/3e/51/2d/3e512db7d86607829935b62c71b169c7.jpg;;;;;;;;
White;Admiral Red Balck;https://color.romanuke.com/wp-content/uploads/2012/04/cvetovaya-palitra-227.jpg;;;;;;;;
Yellow;Admiral Lilac Sky Purple Grey Black;https://i.pinimg.com/564x/ce/47/93/ce479300f6abb5f16373c9005ce0be26.jpg;;;;;;;;
